YearMonth,CO_ppm,NO2_ppb,PM25_ugm3,Electric Vehicle (EV) Total,Percent Electric Vehicles,Year,Renewable_Share,Coal_Share,AWND,PRCP,TAVG,TMAX,TMIN
2020-07,0.5,23.89032258064516,5.28888888888889,32637.0,2.33,2020,0.7495343936625075,0.044969265609835,6.1648387096774195,34.77,57.77445652173913,70.54464285714286,51.916666666666664
2020-08,0.5142857142857143,25.787096774193547,7.729629629629629,32965.0,2.35,2020,0.7495343936625075,0.044969265609835,5.645161290322581,46.2,58.2911051212938,72.97333333333333,50.93026706231454
2020-09,0.54,37.86,42.95,33263.0,2.37,2020,0.7495343936625075,0.044969265609835,5.542,265.63,58.03939393939394,69.97611464968153,52.404458598726116
2020-10,0.5370370370370371,26.496774193548383,8.274193548387096,33868.0,2.41,2020,0.7495343936625075,0.044969265609835,5.628279569892473,365.38,46.002932551319645,55.9429012345679,42.657407407407405
2020-11,0.52,26.916666666666668,7.75,34661.0,2.47,2020,0.7495343936625075,0.044969265609835,6.762777777777777,537.11,37.157575757575756,45.03525641025641,35.98076923076923
2020-12,0.6322580645161291,29.51935483870968,8.45483870967742,35065.0,2.5,2020,0.7495343936625075,0.044969265609835,6.270860215053764,547.69,35.11538461538461,43.31464174454829,33.43769470404985
2021-01,0.535483870967742,27.961290322580645,6.974193548387096,36094.0,2.58,2021,0.7405331523135068,0.028501449381719442,5.421612903225806,635.8,34.52199413489736,42.134466769706336,33.216383307573416
2021-02,0.425,29.99642857142857,4.832142857142857,36653.0,2.62,2021,0.7405331523135068,0.028501449381719442,7.781428571428571,572.15,30.101973684210527,37.9757785467128,29.77854671280277
2021-03,0.5,31.44516129032258,7.270967741935484,37063.0,2.65,2021,0.7405331523135068,0.028501449381719442,5.599354838709678,256.75,35.975806451612904,46.705621301775146,32.07248520710059
2021-04,0.4466666666666666,31.33333333333333,6.676666666666667,38184.0,2.72,2021,0.7405331523135068,0.028501449381719442,6.223888888888888,108.98,42.3,56.07253086419753,36.726851851851855
2021-05,0.4129032258064516,24.68387096774193,4.738709677419355,38935.0,2.77,2021,0.7405331523135068,0.028501449381719442,6.53989247311828,171.24,45.795698924731184,58.86764705882353,41.58382352941177
2021-06,0.396,26.558333333333334,7.333333333333333,39633.0,2.82,2021,0.7405331523135068,0.028501449381719442,6.3452222222222225,154.39,58.26111111111111,71.77981651376147,51.221538461538465
2021-07,0.4039999999999999,28.35217391304348,6.674193548387097,40875.0,2.91,2021,0.7405331523135068,0.028501449381719442,5.69763440860215,4.55,61.02168021680217,74.75446428571429,53.898809523809526
2021-08,0.5,29.651612903225807,8.803225806451612,41805.0,2.97,2021,0.7405331523135068,0.028501449381719442,6.10741935483871,49.31,59.088948787061994,72.3274074074074,53.477037037037036
2021-09,0.4833333333333333,30.746666666666663,6.8133333333333335,42530.0,3.03,2021,0.7405331523135068,0.028501449381719442,5.664,261.51,53.31944444444444,65.43358778625954,47.97862595419847
2021-10,0.4806451612903226,26.03333333333333,6.280645161290322,43712.0,3.11,2021,0.7405331523135068,0.028501449381719442,6.371182795698925,467.88,42.97849462365591,52.42365269461078,40.206896551724135
2021-11,0.5433333333333333,25.4,6.633333333333334,44761.0,3.19,2021,0.7405331523135068,0.028501449381719442,6.999222222222223,780.96,39.231197771587745,47.33643410852713,37.35658914728682
2021-12,0.4161290322580645,23.32258064516129,5.480645161290322,45649.0,3.26,2021,0.7405331523135068,0.028501449381719442,7.308021978021977,484.29,29.834269662921347,36.84399375975039,28.85514018691589
2022-01,0.5464285714285715,27.041935483870965,8.845161290322581,46704.0,3.33,2022,0.7566947406847279,0.030820578342155354,5.050543478260869,636.92,35.392370572207085,42.77743902439025,31.922137404580152
2022-02,0.5857142857142856,26.99642857142857,8.585714285714285,47679.0,3.41,2022,0.7566947406847279,0.030820578342155354,5.837857142857143,360.24,34.275757575757574,42.88815789473684,31.511513157894736
2022-03,0.532258064516129,27.990322580645163,6.993548387096775,48573.0,3.48,2022,0.7566947406847279,0.030820578342155354,5.236666666666666,440.66,37.962162162162166,47.94311377245509,35.172413793103445
2022-04,0.4238095238095238,29.111538461538466,5.036666666666666,50076.0,3.58,2022,0.7566947406847279,0.030820578342155354,7.113222222222223,301.25,36.3,47.50626959247649,33.86196319018405
2022-05,0.3999999999999999,26.79655172413793,4.819354838709677,50983.0,3.65,2022,0.7566947406847279,0.030820578342155354,6.1093548387096765,407.15,42.056451612903224,53.51739788199698,39.65684830633284
2022-06,0.4033333333333333,25.74333333333333,5.28,51955.0,3.72,2022,0.7566947406847279,0.030820578342155354,5.833,298.76,51.452777777777776,63.559633027522935,47.78482972136223
2022-07,0.4483870967741936,28.280645161290323,7.45483870967742,53254.0,3.82,2022,0.7566947406847279,0.030820578342155354,5.430537634408602,29.23,61.40860215053763,75.23932926829268,54.52424242424242
2022-08,0.5032258064516129,33.55483870967742,8.269565217391303,54477.0,3.9,2022,0.7566947406847279,0.030820578342155354,5.7750537634408605,9.83,63.62258953168044,77.96827794561933,56.1580547112462
2022-09,0.5321428571428571,30.741666666666664,12.183333333333334,55173.0,3.95,2022,0.7566947406847279,0.030820578342155354,5.649666666666667,11.11,58.096969696969694,71.21931260229132,51.47135842880524
2022-10,0.5928571428571429,36.89655172413793,23.717241379310344,57163.0,4.1,2022,0.7566947406847279,0.030820578342155354,5.02247311827957,256.39,52.997067448680355,63.985849056603776,46.7185534591195
2022-11,0.5137931034482759,25.89333333333333,,58947.0,4.23,2022,0.7566947406847279,0.030820578342155354,5.3437777777777775,479.59,34.2,43.14869281045752,31.563725490196077
2022-12,0.3896551724137931,24.723333333333336,6.277777777777778,60280.0,4.33,2022,0.7566947406847279,0.030820578342155354,6.027634408602151,513.7,29.952247191011235,37.38906752411575,28.34887459807074
2023-01,0.5096774193548387,28.46451612903226,7.725806451612903,62214.0,4.47,2023,0.6839831962605762,0.04080626392915607,5.041612903225807,295.6,34.078167115902964,41.5086887835703,32.63349131121643
2023-02,0.4499999999999999,28.211111111111112,7.625,63692.0,4.58,2023,0.6839831962605762,0.04080626392915607,6.8675,272.51,31.93134328358209,40.29818181818182,29.64246823956443
2023-03,0.4580645161290322,32.56774193548387,7.106451612903226,65130.0,4.71,2023,0.6839831962605762,0.04080626392915607,6.735494505494505,213.44,34.799457994579946,44.861952861952865,31.823529411764707
2023-04,0.38,24.62758620689655,5.933333333333334,67471.0,4.87,2023,0.6839831962605762,0.04080626392915607,6.750777777777778,313.43,38.675,49.19621342512909,35.518010291595196
2023-05,0.375,26.96190476190477,8.293548387096775,69716.0,5.02,2023,0.6839831962605762,0.04080626392915607,5.7222580645161285,78.44,52.327913279132794,65.16503267973856,46.16748768472906
2023-06,0.38,24.52758620689655,7.256521739130435,72219.0,5.18,2023,0.6839831962605762,0.04080626392915607,6.0174157303370785,107.23,53.94166666666667,66.21024734982332,46.996466431095406
2023-07,0.4052631578947368,27.276,7.553333333333333,74396.0,5.33,2023,0.6839831962605762,0.04080626392915607,5.9,14.92,60.153225806451616,74.37277147487845,52.38573743922204
