"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"05/01/2024","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/02/2024","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/03/2024","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/04/2024","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/05/2024","AQS","530330030","1","0.2","ppm","2","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/06/2024","AQS","530330030","1","0.2","ppm","2","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/07/2024","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/08/2024","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/09/2024","AQS","530330030","1","0.2","ppm","2","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/10/2024","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
